1;6946;Fireworks Galaxy
1;6960;Veil Nebula
1;6981;M 72
1;6994;M 73
1;7000;North America Nebula
1;7009;Saturn Nebula
1;7023;Iris Nebula
1;7078;M 15
1;7089;M 2
1;7092;M 39
1;7099;M 30
1;7114;Schmidt's Nova Cygni
1;7293;Helix Nebula
1;7635;Bubble Nebula
1;7654;M 52
1;7662;Copeland's Blue Snowball
